date,country_code,country,confirmed,suspected,cured,dead
20200221,PH,菲律宾,3,0,1,1
20200221,RU,俄罗斯,2,0,2,0
20200221,SE,瑞典,1,0,0,0
20200221,SG,新加坡,85,0,37,0
20200221,TH,泰国,35,0,17,0
20200221,US,美国,15,0,3,0
20200221,VN,越南,16,0,9,0
20200222,AE,阿联酋,13,0,4,0
20200222,AU,澳大利亚,15,0,5,0
20200222,BE,比利时,1,0,1,0
20200222,CA,加拿大,9,0,1,0
20200222,CN,中国,77041,4148,22907,2445
20200222,DE,德国,16,0,7,0
20200222,ES,西班牙,2,0,0,0
20200222,FI,芬兰,1,0,1,0
20200222,FR,法国,12,0,4,1
20200222,GB,英国,9,0,8,0
20200222,IN,印度,3,0,3,0
20200222,IR,伊朗,28,0,0,4
20200222,IT,意大利,33,0,0,2
20200222,JP,日本,763,0,15,3
20200222,KH,柬埔寨,1,0,1,0
20200222,KR,韩国,433,0,18,3
20200222,LB,黎巴嫩,1,0,0,0
20200222,LK,斯里兰卡,1,0,1,0
20200222,MY,马来西亚,22,0,15,0
20200222,NP,尼泊尔,1,0,1,0
20200222,PH,菲律宾,3,0,1,1
20200222,RU,俄罗斯,2,0,2,0
20200222,SE,瑞典,1,0,0,0
20200222,SG,新加坡,89,0,49,0
20200222,TH,泰国,35,0,17,0
20200222,US,美国,34,0,3,0
20200222,VN,越南,16,0,9,0
20200223,AE,阿联酋,13,0,4,0
20200223,AU,澳大利亚,17,0,5,0
20200223,BE,比利时,1,0,1,0
20200223,CA,加拿大,9,0,1,0
20200223,CN,中国,77262,3434,24757,2595
20200223,DE,德国,16,0,7,0
